orderNo,transNo,memberId,dueLoanAmt,realLoanAmt,acctTempId,orderState,orderStatus,orderType,repaymentPeriod,periodType,bankName,successTime,successLogicDate,crtTime,updTime,remittanceType,UPDATE_DAY
TQYJK20180810g4344W20ar,WZCLDE6222B29AA14D45A27B4418C6F54D9A,104989017,420000,420000,420005,7,4,1,12,2,中国邮政储蓄银行,10AUG2018:16:54:57,10AUG2018,10AUG2018:16:54:41,10AUG2018:17:00:04,0,20181102
TQYJK20180810kKKe7XMzM7,XDCLDF61DA5BCAC0484F898597E9CD5CF0F3,10000982,120000,120000,420002,99,2,1,1,1,工商银行,10AUG2018:17:04:49,10AUG2018,10AUG2018:17:04:24,10AUG2018:17:04:50,0,20181102
TQYJK20180810BZ25O2r87u,WZCLB3ADC94DCEBF47409F3C0A484D660A94,100505630,480000,480000,420003,99,2,1,6,2,农业银行,10AUG2018:17:10:29,10AUG2018,10AUG2018:17:10:04,10AUG2018:17:10:30,0,20181102
TQYJK2018081062ILj7q453,XDCLB0C00766414B47CF85A170FFA9B9E5BE,102314813,80000,80000,420002,99,2,1,1,1,中国银行,10AUG2018:18:40:01,10AUG2018,10AUG2018:18:39:47,10AUG2018:18:40:02,0,20181102
TQYJK20180810njNw179Lah,WZCL1BD72B5E98C34434AFBE500FC9313EE6,104521393,360000,360000,420003,99,2,1,3,2,建设银行,10AUG2018:21:03:27,10AUG2018,10AUG2018:21:03:05,10AUG2018:21:03:28,0,20181102
TQYJK20180810k38D7y2E4A,XDCLB7AC70F7C24C4641869C5BB9C28E4215,104624797,120000,120000,420002,99,2,1,1,1,工商银行,10AUG2018:22:21:31,10AUG2018,10AUG2018:22:21:16,10AUG2018:22:21:31,0,20181102
TQYJK20180810ggkv3p3H7F,XDCL547C6CBE489F4E00AD281DF18B651A94,102035046,150000,150000,420002,99,2,1,1,1,农业银行,10AUG2018:22:45:49,10AUG2018,10AUG2018:22:45:29,10AUG2018:22:45:49,0,20181102
TQYJK201808102dL32BrH73,,103479909,50000,50000,420002,2,0,1,1,1,工商银行,,,10AUG2018:23:40:13,,0,20181102
TQYJK20180810Z47q3GG459,XDCLE92903C583F445B3B5B4D55ADF3A8706,103479909,160000,160000,420002,99,2,1,3,1,工商银行,10AUG2018:23:46:49,10AUG2018,10AUG2018:23:44:18,10AUG2018:23:46:49,0,20181102
TQYJK20180811ESnDF41g8h,XDCLE79BE0EB6523426681F7E12D4FA8F09B,104783127,300000,300000,420002,99,2,1,3,1,建设银行,11AUG2018:08:23:15,11AUG2018,11AUG2018:08:23:01,11AUG2018:08:23:16,0,20181102
TQYJK20180811vznBh8wE67,XDCL33E0608D042D4242A70AF48BBAB2B928,103496609,130000,130000,420002,99,2,1,1,1,建设银行,11AUG2018:09:17:24,11AUG2018,11AUG2018:09:17:10,11AUG2018:09:17:24,0,20181102
TQYJK201808116Q6U2Hl2a8,XDCLBB950C5C5BE7465EAA40B8ACCAAA86AE,102947080,150000,150000,420002,99,2,1,1,1,建设银行,11AUG2018:09:48:30,11AUG2018,11AUG2018:09:47:47,11AUG2018:09:48:30,0,20181102
TQYJK201808112j3I4Wt403,XDCLCD05DE6F921B445E964E2BCB015E6D22,104806967,200000,200000,420002,99,2,1,3,1,建设银行,11AUG2018:10:29:47,11AUG2018,11AUG2018:10:29:27,11AUG2018:10:29:47,0,20181102
TQYJK20180811510C7N8L9b,XDCLF21651CBAC73450BBC05E53D1D05B961,101252665,290000,290000,420002,99,2,1,3,1,建设银行,11AUG2018:10:40:33,11AUG2018,11AUG2018:10:40:08,11AUG2018:10:40:34,0,20181102
TQYJK20180811I32K3i5319,XDCL5F78CDA0E3F04D7EABF6C09FB1CB5492,102435357,100000,100000,420002,99,2,1,1,1,建设银行,11AUG2018:11:42:00,11AUG2018,11AUG2018:11:41:46,11AUG2018:11:42:00,0,20181102
TQYJK201808117IUK8mn6s4,XDCLE6FB0D0D79584928967D4C35A7EF6000,103860113,160000,160000,420002,99,2,1,3,1,建设银行,11AUG2018:11:52:12,11AUG2018,11AUG2018:11:51:52,11AUG2018:11:52:12,0,20181102
TQYJK20180811rz1N725Q14,XDCL9062EECA78C44A8180509C7866C9BB39,100548853,60000,60000,420002,99,2,1,1,1,中国银行,11AUG2018:12:19:51,11AUG2018,11AUG2018:12:19:29,11AUG2018:12:19:52,0,20181102
TQYJK20180811oQ1471ojE0,WZCL8239E23C64B14C07B58E7DD39733989C,103738285,490000,490000,420003,99,2,1,3,2,农业银行,11AUG2018:12:37:21,11AUG2018,11AUG2018:12:36:47,11AUG2018:12:37:22,0,20181102
TQYJK20180811QE41Trn9Y6,XDCLE6DC310CB4034F63AEFCACB69B2D1B02,101679304,140000,140000,420002,99,2,1,1,1,工商银行,11AUG2018:14:02:27,11AUG2018,11AUG2018:14:02:05,11AUG2018:14:02:27,0,20181102
TQYJK201808111rCj0YDs48,XDCL3C062626742545F9BE1B85D6BABDF154,100108854,150000,150000,420002,3,0,1,1,1,建设银行,,,11AUG2018:14:14:13,11AUG2018:14:14:20,0,20181102
TQYJK20180811W4pZ616jp8,XDCL9D3FC139C48C4BD6887E49F1F8EF557F,100108854,150000,150000,420002,99,2,1,1,1,建设银行,11AUG2018:14:14:57,11AUG2018,11AUG2018:14:14:38,11AUG2018:14:14:57,0,20181102
TQYJK201808113tH1T6hXK4,WZCLF74BEB58E8C74DC4A98B01674CDD7BBF,104970419,310000,310000,420003,99,2,1,6,2,交通银行,11AUG2018:14:57:33,11AUG2018,11AUG2018:14:57:15,11AUG2018:14:57:34,0,20181102
TQYJK201808113DDF965E36,WZCLC551CAE9C48C413792F3C96CA8FDA4DF,102892215,60000,60000,420003,99,2,1,1,2,工商银行,11AUG2018:17:09:07,11AUG2018,11AUG2018:17:08:47,11AUG2018:17:09:08,0,20181102
TQYJK20180811v3R8ica0f7,XDCLF42569193C0F4A97967C86322E151BF1,102547485,100000,100000,420002,99,2,1,1,1,工商银行,11AUG2018:18:00:34,11AUG2018,11AUG2018:18:00:18,11AUG2018:18:00:34,0,20181102
TQYJK20180811QOdz73zI7k,XDCLF898D3D608BF46758471FF595F6666F7,100878190,300000,300000,420002,99,2,1,1,1,中国邮政储蓄银行,11AUG2018:18:29:36,11AUG2018,11AUG2018:18:29:18,11AUG2018:18:29:37,0,20181102
TQYJK20180811xYl4M7410o,WZCL2CC6533911E74E60900A254683E407C2,102515465,110000,110000,420003,3,3,1,1,2,建设银行,,,11AUG2018:19:20:41,11AUG2018:19:20:54,0,20181102
TQYJK2018081190410M5INm,WZCL0FA5DA7FA6184E24AEF7D5D040D1874C,102515465,110000,110000,420003,3,3,1,1,2,建设银行,,,11AUG2018:19:21:03,11AUG2018:19:23:23,0,20181102
TQYJK20180811J014952w28,WZCLA13A733FEF1D43CE872BF1425AEE2C8B,102515465,110000,110000,420003,3,3,1,1,2,建设银行,,,11AUG2018:19:23:58,11AUG2018:19:24:11,0,20181102
TQYJK201808119QA7fIGc80,WZCL16F031D5C8CC4F7B90795D4591CE71C4,103190934,70000,70000,420003,99,2,1,1,2,交通银行,11AUG2018:19:33:46,11AUG2018,11AUG2018:19:33:23,11AUG2018:19:33:47,0,20181102
TQYJK2018081182uAW1084A,,102515465,110000,0,,1,3,1,1,2,建设银行,,,11AUG2018:19:55:36,,,20181102
TQYJK201808114D15K51eyI,WZCL54A04601CC3741E1BC61DB6A7E914E93,102515465,110000,110000,420003,3,3,1,1,2,建设银行,,,11AUG2018:19:55:55,11AUG2018:19:57:35,0,20181102
TQYJK201808114T5Wyk8845,XDCL3B5CD7A0591441F49DE3D0B62D5797DB,103838224,100000,100000,420002,2,3,1,1,1,招商银行,,,11AUG2018:21:17:21,11AUG2018:21:17:26,0,20181102
TQYJK201808111293N28I34,XDCL67380A312EB14B848A339843AA346D39,103497489,100000,100000,420002,3,0,1,1,1,农业银行,,,11AUG2018:21:21:22,11AUG2018:21:21:27,0,20181102
TQYJK20180811M1e57z181X,XDCLF4449C6DBFD241B38C27782B82150BBC,103497489,100000,100000,420002,99,2,1,1,1,农业银行,11AUG2018:21:21:50,11AUG2018,11AUG2018:21:21:38,11AUG2018:21:21:51,0,20181102
TQYJK201808112y575A5E5T,WZCL784B3C9755F84EDABEFC15C503B514BC,102515465,110000,110000,420003,3,0,1,1,2,建设银行,,,11AUG2018:21:23:57,11AUG2018:21:24:02,0,20181102
TQYJK201808112nv8c0d752,WZCL35BBF4ADED9041239D409CD7C37C31EC,102515465,110000,110000,420003,3,3,1,1,2,建设银行,,,11AUG2018:21:24:14,11AUG2018:21:24:27,0,20181102
TQYJK201808116V1Ia82Y31,XDCL5F835D3753DD4B8C8C3DBFAD08E2DB61,100392625,330000,330000,420002,99,2,1,1,1,广东发展银行,11AUG2018:21:56:00,11AUG2018,11AUG2018:21:55:44,11AUG2018:21:56:01,0,20181102
TQYJK2018081165N937ptIR,XDCLBDDABA0273994EF9B6A7ECC3538C2C5F,100530838,590000,590000,420002,99,2,1,3,1,建设银行,11AUG2018:23:31:05,11AUG2018,11AUG2018:23:30:45,11AUG2018:23:31:05,0,20181102
