orderNo,transNo,memberId,dueLoanAmt,realLoanAmt,acctTempId,orderState,orderStatus,orderType,repaymentPeriod,periodType,bankName,successTime,successLogicDate,crtTime,updTime,remittanceType,UPDATE_DAY
TQYJK20170727mE6bhYr2VF,XDCLF6321FEB42854CD0AF272C0EB59242C1,101852077,90000,90000,420002,3,0,1,3,1,中国银行,,,27JUL2017:13:15:17,27JUL2017:13:15:21,0,20181102
TQYJK2017072759U98d1962,XDCL8F09755D48A3457899FC0975CAA00FA2,101773885,80000,80000,420002,2,3,1,3,1,平安银行,,,27JUL2017:17:04:53,27JUL2017:17:04:57,0,20181102
TQYJK2017072731Q97o0w1e,XDCLA9BEE990704F4A669B0785E48121D764,101852077,90000,90000,420002,3,0,1,3,1,中国银行,,,27JUL2017:20:44:49,27JUL2017:20:44:53,0,20181102
TQYJK20170727BP776Y381t,XDCLE5C475F8CECE49CE886E979AEBDCCDB5,101852077,90000,90000,420002,99,2,1,3,1,中国银行,27JUL2017:20:49:02,27JUL2017,27JUL2017:20:48:22,27JUL2017:20:49:02,0,20181102
TQYJK2017072955111e4t4Q,XDCLC6841F8B10CD4426B65C42EBC0697127,101834763,120000,120000,420002,99,2,1,3,1,农业银行,29JUL2017:11:28:34,29JUL2017,29JUL2017:11:28:14,29JUL2017:11:28:34,0,20181102
TQYJK201707293763923aIo,XDCL1C95E689CDA5475FA9388707613D82A2,101773885,160000,160000,420002,2,3,1,3,1,平安银行,,,29JUL2017:15:01:53,29JUL2017:15:01:57,0,20181102
TQYJK20170729oOWmr645cG,XDCL1454EFA3458F48EDA17CB094EB6306BF,102387332,120000,120000,420002,99,2,1,3,1,农业银行,29JUL2017:23:41:58,29JUL2017,29JUL2017:23:41:42,29JUL2017:23:41:58,0,20181102
TQYJK20170731vCb45hJ81Y,,100783085,200000,200000,420002,2,0,1,3,1,农业银行,,,31JUL2017:11:16:26,,0,20181102
TQYJK20170731G4R2D3u8u8,XDCL430B742BCEFD48219B46404A200BBE00,100783085,200000,200000,420002,2,3,1,3,1,兴业银行,,,31JUL2017:11:16:33,31JUL2017:11:16:38,0,20181102
TQYJK20170731w02526u9ms,XDCLDE40E0664F854856BE67B1DF00AB530C,100783085,200000,200000,420002,2,3,1,3,1,兴业银行,,,31JUL2017:11:16:44,31JUL2017:11:16:49,0,20181102
TQYJK20170731700f671889,XDCL06EBECBBA27146EB9A28D11F1315DEC5,100783085,200000,200000,420002,99,2,1,3,1,兴业银行,31JUL2017:11:17:21,31JUL2017,31JUL2017:11:16:54,31JUL2017:11:17:21,0,20181102
TQYJK201707317z9F145VpT,XDCLBCB6CDBA8118428794A1D56084CA3BFE,103395155,200000,200000,420002,99,2,1,3,1,工商银行,31JUL2017:14:26:40,31JUL2017,31JUL2017:14:26:19,31JUL2017:14:26:40,0,20181102
TQYJK20170801g03M31HEBc,XDCLD926FE37364148F39D84F9A5636C96B4,105081220,100000,100000,420002,3,0,1,3,1,建设银行,,,01AUG2017:00:33:35,01AUG2017:00:33:42,0,20181102
TQYJK20170801zg7mC1cg32,XDCLC6197673942540E0B4F68573220A9788,105081220,100000,100000,420002,3,0,1,3,1,建设银行,,,01AUG2017:00:35:25,01AUG2017:00:35:33,0,20181102
TQYJK20170801CMraY6p054,XDCLC528CBCFE89441C08B7BD55D28D9552C,105081220,100000,100000,420002,99,2,1,3,1,建设银行,01AUG2017:10:17:15,01AUG2017,01AUG2017:10:17:00,01AUG2017:10:17:15,0,20181102
TQYJK201708012c0k19btE2,XDCL8F63C58D12F54FFD9ABE3EC60AB98532,105052573,100000,100000,420002,99,2,1,3,1,中国建设银行,01AUG2017:10:37:05,01AUG2017,01AUG2017:10:36:26,01AUG2017:10:37:05,0,20181102
TQYJK20170801c05DV01dv8,XDCL0548B7F39BFC43AB8AA006AF6E97C9B3,102706892,150000,150000,420002,99,2,1,3,1,工商银行,01AUG2017:20:47:33,01AUG2017,01AUG2017:20:47:16,01AUG2017:20:47:33,0,20181102
TQYJK201708022NR481AE4J,XDCL785FD5F1C6E7496CA3542D5A2CA2B88A,102236548,300000,300000,420002,99,2,1,3,1,工商银行,02AUG2017:10:28:02,02AUG2017,02AUG2017:10:27:35,02AUG2017:10:28:02,0,20181102
TQYJK201708023E9V8WakaE,XDCLAED5DFCD50B547C5B76D31243EB97067,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:10:40:53,02AUG2017:10:40:58,0,20181102
TQYJK20170802w08a9oG650,XDCL0B8A8A4333934C6F88EE3825C9B7D9B2,103893120,700000,700000,420002,3,3,1,12,1,农业银行,,,02AUG2017:10:53:38,02AUG2017:10:54:03,0,20181102
TQYJK20170802W92T63Wn6k,XDCLF73F5C0C2A674F7E85D053934204E9ED,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:11:13:28,02AUG2017:11:13:34,0,20181102
TQYJK20170802U7E3oNf7ac,,103893120,700000,700000,420002,2,0,1,9,1,农业银行,,,02AUG2017:11:21:56,,0,20181102
TQYJK201708029U9D0MKL2I,XDCL25A6B2B1EF0C4B50BEC252604152FEC0,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:11:22:17,02AUG2017:11:22:20,0,20181102
TQYJK2017080252Z9086Z4y,XDCL82534EFB80B84395A5065FD68F477BE7,101277218,60000,60000,420002,99,2,1,3,1,中信银行,02AUG2017:11:24:15,02AUG2017,02AUG2017:11:23:50,02AUG2017:11:24:15,0,20181102
TQYJK20170802Pfj46f66fD,XDCL0B6F28327ACF46FFB633AF99962AA04E,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:11:30:11,02AUG2017:11:30:15,0,20181102
TQYJK20170802968H9H5TQ4,XDCLB1338DB7E42B452C94970B853A1B3CF2,103893120,600000,600000,420002,3,0,1,9,1,农业银行,,,02AUG2017:11:31:47,02AUG2017:11:31:51,0,20181102
TQYJK20170802WbVwX07tE9,XDCL50C16884E9494AF0A62330C516A68940,103893120,500000,500000,420002,3,0,1,6,1,农业银行,,,02AUG2017:12:21:12,02AUG2017:12:21:16,0,20181102
TQYJK201708020g8q868RD3,XDCL22141D35986B41308130376EE9D8EA00,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:16:18:44,02AUG2017:16:18:50,0,20181102
TQYJK20170802QO1680f74G,XDCL342D782F46814C5F9DCFE0F40BAB0699,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:17:52:21,02AUG2017:17:52:26,0,20181102
TQYJK20170802914bc3pf1e,XDCL5119062332614D13A4D64B44ED0BD014,103893120,700000,700000,420002,3,0,1,12,1,农业银行,,,02AUG2017:19:28:31,02AUG2017:19:28:35,0,20181102
TQYJK2017080290Z6MT3hg6,XDCL26C90415AEA84B939E3977EF4ADC5691,10471981,230000,230000,420002,2,3,1,3,1,招商银行,,,02AUG2017:22:55:26,02AUG2017:22:55:30,0,20181102
TQYJK20170802eNI31E0401,XDCL8C3F896A20374FB88D79D1285C5D0668,10471981,230000,230000,420002,2,3,1,3,1,招商银行,,,02AUG2017:22:55:36,02AUG2017:22:55:39,0,20181102
TQYJK20170802C9c6l6J83R,XDCL2950BCB384414A2A8A8B942B7CF38DDB,10471981,230000,230000,420002,2,3,1,3,1,招商银行,,,02AUG2017:22:55:49,02AUG2017:22:55:53,0,20181102
TQYJK2017080281027s4t16,XDCL8746AC214B61427894175830890E7CE1,10471981,230000,230000,420002,99,2,1,3,1,招商银行,02AUG2017:22:56:26,02AUG2017,02AUG2017:22:56:00,02AUG2017:22:56:26,0,20181102
TQYJK201708022o43Z5h380,XDCL887AB1BDB5254CA283EA477EA26841CB,100019314,70000,70000,420002,2,3,1,3,1,平安银行,,,02AUG2017:23:04:34,02AUG2017:23:04:40,0,20181102
TQYJK201708021425S1x37o,XDCLB3825360B2CB426F92B6F1ABC209FA12,100019314,70000,70000,420002,99,2,1,3,1,平安银行,02AUG2017:23:05:23,02AUG2017,02AUG2017:23:04:45,02AUG2017:23:05:23,0,20181102
TQYJK201708037Zat0C4o31,XDCL816E80461EE44E3FB962483214244128,104297649,300000,300000,420002,2,3,1,3,1,建设银行,,,03AUG2017:12:46:45,03AUG2017:12:46:48,0,20181102
TQYJK20170803CD010k9dx9,XDCL37BD3E60E3C64677BC1D0BD8A4409B1F,104297649,300000,300000,420002,99,2,1,3,1,建设银行,03AUG2017:12:47:15,03AUG2017,03AUG2017:12:46:51,03AUG2017:12:47:16,0,20181102
TQYJK20170803h3m5CN05Q4,XDCL3F274D7C137541A7AE723F0B648C6ACA,103893120,700000,700000,420002,99,2,1,12,1,农业银行,03AUG2017:16:03:56,03AUG2017,03AUG2017:16:03:35,03AUG2017:16:03:56,0,20181102
TQYJK201708033433273H27,XDCL4BFD1BF422A14689A8F2C7BFE8DF1819,102702019,100000,100000,420002,99,2,1,3,1,工商银行,03AUG2017:16:10:07,03AUG2017,03AUG2017:16:09:44,03AUG2017:16:10:08,0,20181102
TQYJK2017080375ODaUZ1I2,XDCL8699CEEA6EAD4441B3E972BBFBA40EDF,101773885,160000,160000,420002,2,3,1,3,1,平安银行,,,03AUG2017:20:21:06,03AUG2017:20:21:11,0,20181102
TQYJK20170804iy50g9QFa1,XDCL0D9934CD790248028B64ADF4F31D1DC7,100936011,400000,400000,420002,99,2,1,3,1,建设银行,04AUG2017:10:37:48,04AUG2017,04AUG2017:10:37:27,04AUG2017:10:37:48,0,20181102
TQYJK20170804U761847d17,,100049700,100000,100000,420002,2,0,1,3,1,农业银行,,,04AUG2017:17:54:59,,0,20181102
TQYJK20170804Q90NSZKL8V,XDCLE2D22317A7DF4AFA8EA839638F7D77D9,100049700,100000,100000,420002,99,4,1,3,1,农业银行,04AUG2017:20:13:35,04AUG2017,04AUG2017:20:13:19,10AUG2017:13:40:42,0,20181102
TQYJK201708050s35l6U5lz,,100498557,320000,320000,420002,2,0,1,6,1,中国工商银行,,,05AUG2017:11:46:38,,0,20181102
TQYJK201708050am5bqEV12,XDCL39E8A157C398428FB05805E1DBCEAC18,100498557,320000,320000,420002,99,2,1,6,1,中国工商银行,05AUG2017:11:47:01,05AUG2017,05AUG2017:11:46:47,05AUG2017:11:47:01,0,20181102
TQYJK20170805caD810jdTp,XDCL34A0944002D4472693F9D97B6AE80BB8,102880354,1000000,1000000,420002,99,2,1,3,1,工商银行,05AUG2017:16:38:58,05AUG2017,05AUG2017:16:38:37,05AUG2017:16:38:58,0,20181102
TQYJK20170805a613v889t9,XDCL9A326FDEDE704453A7422E90087911EC,103221802,170000,170000,420002,2,3,1,3,1,中国建设银行,,,05AUG2017:19:45:35,05AUG2017:19:45:38,0,20181102
TQYJK20170805xm79E5oH53,XDCLB5B14BA3C969499CB990B6E9EF16CA86,103221802,170000,170000,420002,99,2,1,3,1,中国建设银行,05AUG2017:19:45:53,05AUG2017,05AUG2017:19:45:41,05AUG2017:19:45:53,0,20181102
TQYJK201708057RaK09NV2Y,XDCLB756E05FCA6E40159C258C64ABEC5392,100049700,70000,70000,420002,99,4,1,3,1,农业银行,05AUG2017:20:49:53,05AUG2017,05AUG2017:20:49:38,10AUG2017:13:42:08,0,20181102
TQYJK2017080631DpW2835b,XDCL8DA2FC8E98314E19B59D84D9C162FF2F,105081220,50000,50000,420002,99,2,1,3,1,建设银行,06AUG2017:10:13:56,06AUG2017,06AUG2017:10:13:26,06AUG2017:10:13:57,0,20181102
TQYJK2017080670555e43b1,XDCLAA2C7BE06B9D4C19A6943CB2E96C7749,104676184,240000,240000,420002,2,3,1,3,1,招商银行,,,06AUG2017:10:55:23,06AUG2017:10:55:26,0,20181102
TQYJK20170806SFqMu480ma,XDCL834011D512C24502A29D07D8DC96505F,104676184,240000,240000,420002,99,2,1,3,1,招商银行,06AUG2017:10:55:53,06AUG2017,06AUG2017:10:55:31,06AUG2017:10:55:53,0,20181102
TQYJK2017080825o0RL0335,XDCL3B4CCF81BB4D47E984B1C956EA274528,105081220,50000,50000,420002,99,2,1,3,1,建设银行,08AUG2017:09:21:49,08AUG2017,08AUG2017:09:21:26,08AUG2017:09:21:49,0,20181102
TQYJK201708086Qi8W848Br,XDCL201C2FCDB8F641B7BD9E959446BDCC0C,103817048,90000,90000,420002,99,2,1,3,1,建设银行,08AUG2017:10:38:13,08AUG2017,08AUG2017:10:37:55,08AUG2017:10:38:13,0,20181102
TQYJK20170808J7S5xgTBo2,XDCLFEF3E6452B584AAAACDF180E256BB136,10466364,730000,730000,420002,2,3,1,12,1,工商银行,,,08AUG2017:21:01:13,08AUG2017:21:01:16,0,20181102
TQYJK20170808a742I7w406,XDCL7CCD9FD117E54EDBA7231E500ADC6A0A,10466364,730000,730000,420002,99,2,1,12,1,工商银行,08AUG2017:21:01:38,08AUG2017,08AUG2017:21:01:23,08AUG2017:21:01:38,0,20181102
TQYJK201708090G20d0345Q,XDCLA7AB5B9521F4484EA05968C5DE174E98,102260937,480000,480000,420002,99,2,1,6,1,农业银行,09AUG2017:10:13:38,09AUG2017,09AUG2017:10:13:18,09AUG2017:10:13:38,0,20181102
TQYJK20170809lI9bK3Y3j9,XDCL14F76183343A4ADE8E9E1F8D2A44AAD0,101384295,270000,270000,420002,99,2,1,3,1,农业银行,09AUG2017:11:38:23,09AUG2017,09AUG2017:11:38:07,09AUG2017:11:38:23,0,20181102
TQYJK2017080978ELocF1hb,XDCL5D0CECF61C6242C499ED95E83A932C1F,101663015,60000,60000,420002,2,3,1,3,1,招商银行,,,09AUG2017:17:17:51,09AUG2017:17:17:54,0,20181102
TQYJK201708098055A6XXIQ,XDCL7883A6A64B4D465CBA6A1C64A3B1F730,101663015,60000,60000,420002,99,2,1,3,1,招商银行,09AUG2017:17:19:16,09AUG2017,09AUG2017:17:17:58,09AUG2017:17:19:16,0,20181102
TQYJK20170809TT21M8N4J2,XDCL5FFEA19C8D124F73B3D2171E57C3C9FB,103698250,60000,60000,420002,99,2,1,3,1,农业银行,09AUG2017:17:25:53,09AUG2017,09AUG2017:17:25:39,09AUG2017:17:25:53,0,20181102
TQYJK20170809nps27P8tBw,XDCL88B9347BF1E34C148F86B55E7AC22BA4,100167245,600000,600000,420002,99,2,1,9,1,工商银行,09AUG2017:20:41:03,09AUG2017,09AUG2017:20:40:44,09AUG2017:20:41:03,0,20181102
TQYJK201708108nHJr644Uy,XDCL46761BB82E6C47869EA66975537406F7,101803258,220000,220000,420002,2,3,1,3,1,建设银行,,,10AUG2017:01:48:53,10AUG2017:01:48:58,0,20181102
TQYJK2017081071Ed9086Zb,XDCLCC3315ACE47B4632A03C13A7A3B5D7F8,104766191,50000,50000,420002,99,2,1,3,1,建设银行,10AUG2017:06:38:02,10AUG2017,10AUG2017:06:37:46,10AUG2017:06:38:03,0,20181102
TQYJK20170810942T0lBY1Z,XDCL41D9AB4C9BDF47E493DF0CB929631A88,103040272,100000,100000,420002,99,2,1,3,1,工商银行,10AUG2017:08:34:59,10AUG2017,10AUG2017:08:34:40,10AUG2017:08:35:00,0,20181102
TQYJK20170810DO3Q30b2y0,XDCL52DF8BE3DA0D4AF385E6202BE45A4EC9,102922913,380000,380000,420002,99,2,1,3,1,工商银行,10AUG2017:12:09:32,10AUG2017,10AUG2017:12:08:31,10AUG2017:12:09:32,0,20181102
TQYJK20170810vO2Dw6w262,XDCLEEA7C9CE569B4ABE9CEAA9652F0B466C,100049700,200000,200000,420002,99,2,1,3,1,中国银行,10AUG2017:14:35:09,10AUG2017,10AUG2017:14:34:55,10AUG2017:14:35:09,0,20181102
TQYJK20170811DgmUhu3Jy3,XDCL2619C5623160441BB11D66D38EDAE92B,102058051,160000,160000,420002,99,2,1,3,1,工商银行,11AUG2017:06:26:14,11AUG2017,11AUG2017:06:26:00,11AUG2017:06:26:15,0,20181102
TQYJK20170811wII6h3FZ7Z,XDCL7F36D1897BD24884939850ED0F93F770,103688774,490000,490000,420002,99,2,1,6,1,建设银行,11AUG2017:11:43:13,11AUG2017,11AUG2017:11:43:02,11AUG2017:11:43:13,0,20181102
TQYJK2017081176W2N5W620,XDCL34E4838215534ADABA3F4F4D5941DD12,101166032,240000,240000,420002,99,2,1,3,1,农业银行,11AUG2017:23:09:56,11AUG2017,11AUG2017:23:09:39,11AUG2017:23:09:56,0,20181102
TQYJK201708128861R0cu99,XDCLB5A56A576FFF433EBFC886F31E511A0A,104766191,60000,60000,420002,99,2,1,3,1,建设银行,12AUG2017:09:01:42,12AUG2017,12AUG2017:09:00:46,12AUG2017:09:01:42,0,20181102
TQYJK20170812Bu48083625,XDCL0D9EBEB7630F400AB8636C80DE83D779,102269770,160000,160000,420002,2,3,1,3,1,农业银行,,,12AUG2017:19:45:57,12AUG2017:19:46:00,0,20181102
TQYJK201708136nA3W04Mff,XDCLE68C37BF5DDD42299E6A7B842EA6CD61,102058051,90000,90000,420002,99,2,1,3,1,工商银行,13AUG2017:12:16:42,13AUG2017,13AUG2017:12:16:28,13AUG2017:12:16:42,0,20181102
TQYJK201708133V84kve32V,XDCL8DF74195BF2A433C82490472623234C7,104006682,90000,90000,420002,99,2,1,3,1,中国建设银行,13AUG2017:14:14:00,13AUG2017,13AUG2017:14:13:41,13AUG2017:14:14:00,0,20181102
TQYJK2017081436P6f07928,XDCL920DDBC113A446008F71CA23110AF6EE,105127814,250000,250000,420002,99,2,1,3,1,中信银行,14AUG2017:19:26:26,14AUG2017,14AUG2017:19:26:16,14AUG2017:19:26:27,0,20181102
TQYJK201708152v01z9q4xj,XDCL79BE804E747846FB8EE3A4CC686F35DB,103395155,90000,90000,420002,99,2,1,3,1,工商银行,15AUG2017:08:41:26,15AUG2017,15AUG2017:08:41:09,15AUG2017:08:41:26,0,20181102
TQYJK2017081567455Dt54k,XDCL0EC7B2403B7C4175A54CA9CC8A2646CD,104038994,210000,210000,420002,99,2,1,3,1,建设银行,15AUG2017:11:04:00,15AUG2017,15AUG2017:11:03:44,15AUG2017:11:04:00,0,20181102
TQYJK2017081569Qq5EtpW8,XDCL8DF67C375D5F4D2098ACA3C6E420D306,101175817,100000,100000,420002,99,2,1,3,1,建设银行,15AUG2017:11:39:20,15AUG2017,15AUG2017:11:38:36,15AUG2017:11:39:20,0,20181102
TQYJK201708161729R97ju4,XDCL3C659F9060F346C1AA819D66B998220E,102006819,210000,210000,420002,99,2,1,3,1,工商银行,16AUG2017:09:58:32,16AUG2017,16AUG2017:09:58:20,16AUG2017:09:58:32,0,20181102
TQYJK20170816tbrxw3jN08,XDCLAD4FDC0D5A1F4FBB822B4FA36C7E9D1B,103470775,100000,100000,420002,99,2,1,3,1,建设银行,16AUG2017:19:41:32,16AUG2017,16AUG2017:19:40:37,16AUG2017:19:41:32,0,20181102
TQYJK20170817Z8UDm21O6t,XDCL76D45116FED64AD59F0568974F07A9D9,101852077,50000,50000,420002,99,2,1,3,1,中国银行,17AUG2017:09:22:31,17AUG2017,17AUG2017:09:21:21,17AUG2017:09:22:31,0,20181102
TQYJK20170817CyBL742W2n,XDCL07DA95F30F2742D695B8CCE66D151A44,105081220,250000,250000,420002,99,2,1,3,1,建设银行,17AUG2017:11:16:34,17AUG2017,17AUG2017:11:16:11,17AUG2017:11:16:34,0,20181102
TQYJK20170818F6HT347bOT,XDCL72B2E22990EC4BE18378D9A0149B8BEB,103838224,110000,110000,420002,99,2,1,3,1,招商银行,18AUG2017:07:07:31,18AUG2017,18AUG2017:07:07:15,18AUG2017:07:07:31,0,20181102
TQYJK20170819G933zeANa6,XDCLEDDD34631154482C87EC438EF5EDD48C,104455311,180000,180000,420002,99,2,1,3,1,建设银行,19AUG2017:08:00:26,19AUG2017,19AUG2017:08:00:06,19AUG2017:08:00:27,0,20181102
TQYJK201708191P83V0G231,XDCLF8A7F82312824587BD927FC4106440CC,104455516,90000,90000,420002,99,2,1,3,1,招商银行,19AUG2017:09:52:28,19AUG2017,19AUG2017:09:52:12,19AUG2017:09:52:28,0,20181102
TQYJK20170820V8s379833h,,105081220,70000,70000,420002,2,0,1,3,1,建设银行,,,20AUG2017:15:36:18,,0,20181102
TQYJK201708201tj63F85Y0,XDCLC0E8D913938E4750857DB82B3F6CDBF4,105081220,70000,70000,420002,99,2,1,3,1,建设银行,20AUG2017:15:47:30,20AUG2017,20AUG2017:15:47:17,20AUG2017:15:47:30,0,20181102
TQYJK20170820587h89H882,XDCL245CD2FE4BCB4BC1A0E8CB88AC41395F,10173622,700000,700000,420002,99,2,1,12,1,建设银行,20AUG2017:22:01:29,20AUG2017,20AUG2017:22:01:13,20AUG2017:22:01:29,0,20181102
TQYJK20170821n500lKTEIm,XDCL30F127254D7D4076AA52FBC6407635CF,104223002,100000,100000,420002,99,2,1,3,1,华夏银行,21AUG2017:07:10:00,21AUG2017,21AUG2017:07:09:49,21AUG2017:07:10:00,0,20181102
TQYJK20170822HYlJO3jyw0,XDCLD082B490E1B44D6F985A30B4853787D1,100621583,80000,80000,420002,99,2,1,3,1,招商银行,22AUG2017:01:27:47,22AUG2017,22AUG2017:01:27:12,22AUG2017:01:27:47,0,20181102
TQYJK20170822v4G7MW06P9,XDCL7EAFA7B2A82C4960B14442377AA12C03,101773885,240000,240000,420002,2,3,1,3,1,平安银行,,,22AUG2017:04:57:47,22AUG2017:04:57:52,0,20181102
TQYJK20170822o0SgQ9218p,XDCL327882C0C42E44A7807243C94B12B5A3,101407599,260000,260000,420002,99,2,1,3,1,招商银行,22AUG2017:11:03:25,22AUG2017,22AUG2017:11:03:05,22AUG2017:11:03:25,0,20181102
TQYJK20170822GcI7q7KMOj,XDCL437F9BE0823D4F9CBF997EA1A77AB033,100242148,200000,200000,420002,99,2,1,3,1,工商银行,22AUG2017:14:06:54,22AUG2017,22AUG2017:14:06:32,22AUG2017:14:06:54,0,20181102
TQYJK201708226M6OZ17cV7,XDCLA53C73B98F9E46B48D44E201CDF5248A,105081220,50000,50000,420002,99,2,1,3,1,建设银行,22AUG2017:20:12:39,22AUG2017,22AUG2017:20:12:15,22AUG2017:20:12:39,0,20181102
TQYJK20170822eW57LE6MC9,XDCL237DACD32F334463898B9E2EDDFEF897,100899879,860000,860000,420002,99,2,1,12,1,工商银行,22AUG2017:22:04:43,22AUG2017,22AUG2017:22:04:25,22AUG2017:22:04:43,0,20181102
TQYJK201708229duR831n8s,XDCL6C9D5A28820D465C94B580007BDA207F,105123996,270000,270000,420002,99,2,1,3,1,建设银行,22AUG2017:23:41:52,22AUG2017,22AUG2017:23:41:42,22AUG2017:23:41:52,0,20181102
TQYJK2017082376x23Z5l79,XDCLCEB08B7E53264B03984D90D31E3FBD99,101452886,170000,170000,420002,99,2,1,3,1,中信银行,23AUG2017:12:25:09,23AUG2017,23AUG2017:12:24:58,23AUG2017:12:25:10,0,20181102
TQYJK20170823g7273V92j8,XDCL3CC0FABE37E74FB4A2CACB5A3DA68BEF,101175817,80000,80000,420002,99,2,1,3,1,建设银行,23AUG2017:12:31:42,23AUG2017,23AUG2017:12:31:26,23AUG2017:12:31:42,0,20181102
TQYJK20170823Vt7876d5kz,XDCLD63CC7D2E5A041EDB12EDB0691A32635,103510162,370000,370000,420002,3,0,1,6,1,农业银行,,,23AUG2017:14:51:06,23AUG2017:14:51:12,0,20181102
TQYJK20170823uJhuRK66Y3,XDCL6EAB131E73F447B89D1063E13B662E7E,103510162,370000,370000,420002,99,2,1,6,1,农业银行,23AUG2017:15:22:22,23AUG2017,23AUG2017:15:21:51,23AUG2017:15:22:22,0,20181102
TQYJK2017082397X6h1fIHZ,XDCL2320A98B100C402FAD7ED550A19EF90C,1022092,1000000,1000000,420002,99,2,1,3,1,中信银行,23AUG2017:16:10:16,23AUG2017,23AUG2017:16:10:02,23AUG2017:16:10:16,1,20181102
TQYJK201708235KB8u36N90,XDCL706D2C5B7B54460D951D517402626AE7,102568403,450000,450000,420002,99,2,1,6,1,农业银行,23AUG2017:17:51:06,23AUG2017,23AUG2017:17:50:47,23AUG2017:17:51:06,0,20181102
TQYJK20170824a18qYe8Nkf,XDCL0EC2FA2BC14541A28DEEB9FB1624045B,100242148,200000,200000,420002,99,2,1,3,1,工商银行,24AUG2017:12:43:24,24AUG2017,24AUG2017:12:43:05,24AUG2017:12:43:24,0,20181102
TQYJK201708246Y491H37Nh,XDCL8F627AE690B04E809205391FEED435F4,105052573,50000,50000,420002,2,3,1,3,1,中国建设银行,,,24AUG2017:13:20:08,24AUG2017:13:20:13,0,20181102
TQYJK201708243DD3o7r0yt,XDCLA9F677CDA9EB4C77B701B9033CF13ED9,105052573,50000,50000,420002,2,3,1,3,1,中国建设银行,,,24AUG2017:13:20:17,24AUG2017:13:20:20,0,20181102
TQYJK20170824JPb5CPf8v7,XDCL7ACED9F078D043258231253B06788956,105052573,50000,50000,420002,2,3,1,3,1,中国建设银行,,,24AUG2017:13:20:24,24AUG2017:13:20:28,0,20181102
TQYJK201708249d633R9eUH,XDCLFFCC860ADBFE4886A2A6F7BC7E04C540,105052573,50000,50000,420002,99,2,1,3,1,中国建设银行,24AUG2017:13:20:51,24AUG2017,24AUG2017:13:20:31,24AUG2017:13:20:51,0,20181102
TQYJK20170824H0vxT0v84d,XDCL6513A00D91014F2EB02E543E2B3ED52F,100980542,80000,80000,420002,99,2,1,3,1,农业银行,24AUG2017:14:24:53,24AUG2017,24AUG2017:14:24:24,24AUG2017:14:24:53,0,20181102
TQYJK2017082440a806rv0O,XDCL10BBF76A23244A018F74A22CB674F727,103221802,150000,150000,420002,2,3,1,3,1,中国建设银行,,,24AUG2017:23:25:02,24AUG2017:23:25:05,0,20181102
TQYJK20170824c3zBJo1KJO,XDCL0EE9537D536A43C58C6D932A48292329,103221802,150000,150000,420002,99,2,1,3,1,中国建设银行,24AUG2017:23:25:34,24AUG2017,24AUG2017:23:25:07,24AUG2017:23:25:34,0,20181102
TQYJK20170826450F0luj61,XDCL43F41848A7A64D6E924950DB7E4028D8,104360890,150000,150000,420002,2,3,1,3,1,建设银行,,,26AUG2017:16:55:11,26AUG2017:16:55:23,0,20181102
TQYJK201708273YB8OmQhbS,XDCLCB2C4BE2CF4640AFB79659D8CEFCC6DF,104455516,210000,210000,420002,99,2,1,3,1,招商银行,27AUG2017:09:00:49,27AUG2017,27AUG2017:09:00:33,27AUG2017:09:00:49,0,20181102
TQYJK20170827AyX01g2i2N,XDCL84F00B5DBFAF49698171897DFB2EF863,101852077,80000,80000,420002,99,2,1,3,1,中国银行,27AUG2017:10:35:28,27AUG2017,27AUG2017:10:33:17,27AUG2017:10:35:28,0,20181102
TQYJK201708270i0152ax0Y,XDCL14A555B5F4E64D53B93612DAECFEFF12,105081220,130000,130000,420002,99,2,1,3,1,建设银行,27AUG2017:16:04:57,27AUG2017,27AUG2017:16:04:46,27AUG2017:16:04:57,0,20181102
TQYJK201708270182gLbvxS,XDCLA9FCC58C068540C4B393C977244DA2DC,104469091,50000,50000,420002,99,2,1,3,1,建设银行,27AUG2017:19:07:52,27AUG2017,27AUG2017:19:07:33,27AUG2017:19:07:52,0,20181102
TQYJK201708289593b3h68f,XDCLBF9C120C915C4A7BA0C3EEC97A26C8AB,101695733,200000,200000,420002,99,2,1,3,1,建设银行,28AUG2017:07:55:03,28AUG2017,28AUG2017:07:54:21,28AUG2017:07:55:03,0,20181102
TQYJK20170828b18Hzev0mp,XDCL5DBC8E00B2334A5BA9AC12A6BA17C9FD,101834763,120000,120000,420002,99,2,1,3,1,农业银行,28AUG2017:10:05:34,28AUG2017,28AUG2017:10:05:09,28AUG2017:10:05:34,0,20181102
TQYJK20170828sU23m9b80F,XDCL9350CA2ACDB34414BC65B494C28B9207,104416177,50000,50000,420002,99,2,1,3,1,中国工商银行,28AUG2017:11:46:41,28AUG2017,28AUG2017:11:46:14,28AUG2017:11:46:41,0,20181102
