id,memberId,orderNo,bizOrderNo,loanAmount,loanDate,isFree,freeNum,interestType,feeRate,rateType,totalNum,payNum,nextRepayDate,overdueNum,orderStatus,isOverdue,cancelFlag,channelType,acctTempId,logicTime,parentOrderNo,orderType,totalPayAmt,serviceFee,totalInitFee,totalAmt,totalPrincipal,totalFee,totalOverdue,totalLatefee,totalAdvanceFee,totalRepayPoundage,totalRepayDiscountfee,totalLoanDiscountfee,totalDayLoanDiscountfee,totalPayLoanDiscountfee,loanDiscountfeeType,loanDiscountfeeAmt,loanDiscountfeeRate,remainTotalAmt,remainTotalPrincipal,remainTotalFee,remainTotalOverdue,remainTotalLatefee,refundDate,refundTotalAmt,waiverTotalAmt,deleted,crtTime,uptTime,deferredFlag,loanTerm,loanTermUnit,UPDATE_DAY
2866,101663015,TQYJK201703089474wj2x82,,190000,08MAR2017,0,0,1,0.0550,3,3,3,08JUN2017,0,2,0,0,C001,420002,12JUN2017:12:52:34,,1,130093,0,6410,196730,190000,6410,320,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,08MAR2017:17:25:55,08JUN2017:00:01:08,,,,20181102
2899,103698250,TQYJK20170309YQ472BT69Q,,160000,09MAR2017,0,0,1,0.0550,3,3,3,09JUN2017,0,2,0,0,C001,420002,09JUN2017:18:27:54,,1,109336,0,5397,165451,160000,5397,54,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,09MAR2017:08:43:23,09JUN2017:00:01:05,,,,20181102
2922,10471981,TQYJK20170309I9B384n941,,330000,09MAR2017,0,0,1,0.0500,3,6,6,09SEP2017,0,2,0,0,C001,420002,25AUG2017:13:53:22,,1,287515,0,17683,346145,330000,16145,0,0,3219,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,09MAR2017:14:03:06,25AUG2017:00:01:08,,,,20181102
2925,104624620,TQYJK20170309W8MK46usaY,,360000,09MAR2017,0,0,1,0.0550,3,6,6,09SEP2017,0,2,0,0,C001,420002,10AUG2017:14:13:32,,1,246270,0,21219,376665,360000,16665,0,0,7227,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,09MAR2017:14:09:39,10AUG2017:00:01:12,,,,20181102
2968,104648208,TQYJK201703090Q8C1S612U,,320000,09MAR2017,0,0,1,0.0550,3,6,2,09JUN2017,4,1,1,0,C001,420002,02NOV2018:00:05:50,,1,117278,0,18861,440111,320000,18861,101250,0,0,0,0,0,0,0,0,0,0.0000,322833,213334,9005,100494,0,,0,0,0,09MAR2017:15:02:34,09SEP2017:00:01:01,,,,20181102
3197,101624821,TQYJK201703103K1l3X09Jd,,120000,10MAR2017,0,0,1,0.0550,3,3,2,10JUN2017,1,1,1,0,C001,420002,02NOV2018:00:05:34,,1,40528,0,4048,143524,120000,3124,20400,0,88,0,0,0,0,0,0,0,0.0000,61082,40000,682,20400,0,,0,0,0,10MAR2017:13:11:23,10JUN2017:00:01:03,,,,20181102
3304,102058051,TQYJK2017031196hGchs5Ea,,300000,11MAR2017,0,0,1,0.0550,3,3,3,11JUN2017,0,2,0,0,C001,420002,12JUN2017:00:29:45,,1,310220,0,10120,310220,300000,10120,100,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,11MAR2017:15:10:29,11JUN2017:00:01:04,,,,20181102
3331,101916042,TQYJK20170312dyA1343854,,150000,12MAR2017,0,0,1,0.0550,3,3,3,12JUN2017,0,2,0,0,C001,420002,12JUN2017:07:34:07,,1,155061,0,5061,155061,150000,5061,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,12MAR2017:09:22:38,12JUN2017:00:01:05,,,,20181102
3425,101175817,TQYJK20170313l2HHWZLtIa,,240000,13MAR2017,0,0,1,0.0550,3,3,3,13JUN2017,0,2,0,0,C001,420002,08JUN2017:18:13:19,,1,164796,0,8096,245852,240000,5852,0,0,3036,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,13MAR2017:13:05:23,08JUN2017:00:01:07,,,,20181102
3521,10202114,TQYJK20170314HnI245GY74,,700000,14MAR2017,0,0,1,0.0500,3,12,12,14MAR2018,0,2,0,0,C001,420002,14JUL2017:15:45:12,,1,674480,0,69563,733163,700000,33163,0,0,24442,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,14MAR2017:16:38:03,24MAY2017:00:01:01,,,,20181102
3639,102236548,TQYJK20170316NZ64u52Fgf,,670000,16MAR2017,0,0,1,0.0500,3,12,12,16MAR2018,0,2,0,0,C001,420002,03OCT2017:10:14:22,,1,710117,0,66582,710117,670000,40117,0,0,29229,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,16MAR2017:16:05:05,03OCT2017:00:01:02,,,,20181102
3709,101277218,TQYJK20170317C23T19TY65,,70000,17MAR2017,0,0,1,0.0550,3,3,3,17JUN2017,0,2,0,0,C001,420002,16JUN2017:10:39:09,,1,47630,0,2362,72157,70000,2157,0,0,193,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,17MAR2017:14:08:46,16JUN2017:00:01:07,,,,20181102
3846,105136215,TQYJK20170320T81687fJb7,,400000,20MAR2017,0,0,1,0.0500,3,6,6,20SEP2017,0,2,0,0,C001,420002,17SEP2017:00:43:00,,1,421200,0,21433,421200,400000,21133,67,0,300,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,20MAR2017:05:12:14,17SEP2017:00:01:02,,,,20181102
4027,101773885,TQYJK20170322TTi9P9OvzJ,,90000,22MAR2017,0,0,1,0.0550,3,3,3,22JUN2017,0,2,0,0,C001,420002,22JUN2017:08:12:40,,1,92968,0,3037,92968,90000,2938,30,0,99,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,22MAR2017:10:54:32,22JUN2017:00:01:05,,,,20181102
4056,104551815,TQYJK20170322WrI0036jsH,,90000,22MAR2017,0,0,1,0.0550,3,3,3,22JUN2017,0,2,0,0,C001,420002,19JUN2017:15:10:42,,1,93077,0,3037,93077,90000,2987,90,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,22MAR2017:17:10:52,19JUN2017:00:01:07,,,,20181102
4209,100899879,TQYJK20170325WRme81lLYs,,130000,25MAR2017,0,0,1,0.0500,3,3,3,25JUN2017,0,2,0,0,C001,420002,27MAY2017:11:35:50,,1,87707,0,3987,132600,130000,2600,0,0,910,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,25MAR2017:08:30:28,27MAY2017:00:01:06,,,,20181102
